State,Country,Lat,Long,01/22/2020,01/23/2020,01/24/2020,01/25/2020,01/26/2020,01/27/2020,01/28/2020,01/29/2020,01/30/2020,01/31/2020,02/01/2020,02/02/2020,02/03/2020,02/04/2020,02/05/2020,02/06/2020,02/07/2020,02/08/2020,02/09/2020,02/10/2020,02/11/2020,02/12/2020,02/13/2020,02/14/2020,02/15/2020,02/16/2020,02/17/2020,02/18/2020,02/19/2020,02/20/2020,02/21/2020,02/22/2020,02/23/2020,02/24/2020,02/25/2020,02/26/2020,02/27/2020,02/28/2020,02/29/2020,03/01/2020,03/02/2020,03/03/2020,03/04/2020,03/05/2020,03/06/2020,03/07/2020,03/08/2020,03/09/2020,03/10/2020,03/11/2020,03/12/2020,03/13/2020,03/14/2020,03/15/2020,03/16/2020,03/17/2020,03/18/2020,03/19/2020
Bavaria,Germany,48.9119813,10.2870792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,15,15,19,25,35,48,70,117,134,172,256,314,366,500,558,681,886,1067,1352,1798,1798
Rhineland-Palatinate,Germany,49.9509018,6.1893778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,8,10,13,19,17,25,25,52,102,121,168,325,435,603,682
Baden-WÃ¼rttemberg,Germany,48.54039,9.04771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,10,14,15,19,26,44,73,96,170,182,204,237,277,454,454,569,827,1105,1641,2184,2184
North Rhine-Westphalia,Germany,51.426998,7.66398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,25,30,66,86,101,111,181,329,373,398,484,484,484,688,936,1154,1407,1541,3375,4268,4743
Hesse,Germany,50.526501,9.00444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,10,12,12,12,14,16,17,19,26,35,48,99,148,203,286,342,373,547,637
Hamburg,Germany,53.551086,9.993682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,11,13,13,17,29,48,88,99,158,162,260,312,414,432
Bremen,Germany,53.079296,8.801694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,4,4,21,38,42,50,53,56,66,75,80
Lower Saxony,Germany,52.5883848,8.0051687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,18,18,19,21,38,49,75,129,230,253,287,391,563,740,746
Schleswig-Holstein,Germany,54.1914736,7.3468158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,7,7,8,9,9,9,27,31,48,60,103,123,145,196,202
Berlin,Germany,52.5063566,12.864342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,13,19,28,40,48,48,90,137,174,216,265,300,383,519,573
Saxony,Germany,50.9101054,11.2143525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,4,7,12,22,26,45,83,93,130,140,247,296,296
Brandenburg,Germany,52.441165,10.7735506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,6,9,24,30,44,61,84,94,114,171,189
Thuringia,Germany,50.9086295,9.0231447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,4,10,14,29,46,51,55,71,114,114
Mecklenburg-Vorpommern,Germany,53.8798567,10.2607922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,8,10,13,17,23,33,45,50,51,69,100,100
Saarland,Germany,49.375217,6.3206995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,7,14,14,40,40,74,85,101,169,169
Saxony-Anhalt,Germany,51.9719238,9.6316604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,27,42,45,47,77,105,133,152